X_channel Y_channel II_channel timestamp
0.02219988 3712.907 0.0 66.007
0.02217954 3711.08 0.0 66.189
0.02217258 3709.65 0.0 66.37
0.02214955 3709.09 0.0 66.554
0.02214415 3708.697 0.0 66.735
0.02212181 3708.22 0.0 66.915
0.02211366 3707.58 0.0 67.099
0.02209447 3707.343 0.0 67.282
0.02208362 3706.71 0.0 67.466
0.02206748 3705.833 0.0 67.65
0.02205234 3704.563 0.0 67.835
0.02204174 3703.29 0.0 68.014
0.02202213 3702.18 0.0 68.196
0.02201506 3701.7 0.0 68.373
0.02199226 3701.063 0.0 68.547
0.02198676 3700.27 0.0 68.728
0.0219638 3699.637 0.0 68.911
0.02195569 3698.603 0.0 69.093
0.02193913 3697.09 0.0 69.275
0.02192522 3695.74 0.0 69.455
0.02191194 3694.073 0.0 69.636
0.02189525 3692.72 0.0 69.814
0.02188841 3691.53 0.0 69.997
0.0218655 3690.733 0.0 70.178
0.02185911 3689.7 0.0 70.356
0.02183591 3688.43 0.0 70.536
0.02182971 3686.84 0.0 70.721
0.02180803 3685.093 0.0 70.904
0.02179869 3683.583 0.0 71.088
0.02178188 3681.993 0.0 71.27
0.0217681 3679.847 0.0 71.447
0.0217554 3678.577 0.0 71.63
0.0217373 3677.303 0.0 71.814
0.02172949 3674.997 0.0 71.994
0.02170713 3673.093 0.0 72.176
0.02170172 3670.947 0.0 72.357
0.0216779 3669.197 0.0 72.538
0.0216709 3667.21 0.0 72.716
0.02165134 3665.7 0.0 72.898
0.02164008 3664.033 0.0 73.079
0.02162355 3661.727 0.0 73.263
0.02160883 3659.423 0.0 73.442
0.02160067 3656.56 0.0 73.625
0.02157924 3654.257 0.0 73.804
0.02157149 3653.143 0.0 73.984
0.02154905 3652.27 0.0 74.165
0.02154378 3650.68 0.0 74.34
0.02152029 3648.453 0.0 74.52
0.02151282 3645.593 0.0 74.702
0.02149422 3643.447 0.0 74.883
0.0214822 3640.987 0.0 75.065
0.02146796 3637.727 0.0 75.246
0.02145124 3634.31 0.0 75.428
0.02144043 3631.207 0.0 75.609
0.02142012 3628.507 0.0 75.792
0.02141363 3625.33 0.0 75.976
0.02138978 3622.787 0.0 76.158
0.02138478 3620.083 0.0 76.34
0.0213619 3617.54 0.0 76.523
0.02135331 3614.44 0.0 76.705
0.02133475 3611.977 0.0 76.886
0.02132308 3609.117 0.0 77.066
0.02131114 3605.937 0.0 77.249
0.02129201 3602.993 0.0 77.433
0.02128167 3599.02 0.0 77.615
0.02126081 3595.05 0.0 77.796
0.02125326 3591.473 0.0 77.979
0.02123078 3588.213 0.0 78.163
0.02122537 3584.32 0.0 78.342
0.02120058 3580.587 0.0 78.525
0.02119455 3577.01 0.0 78.708
0.02117567 3574.227 0.0 78.89
0.02116369 3571.763 0.0 79.067
0.02114814 3568.903 0.0 79.249
0.02113208 3565.803 0.0 79.43
0.02112033 3562.467 0.0 79.616
0.0211009 3560.477 0.0 79.797
0.02109524 3556.98 0.0 79.976
0.02107162 3552.93 0.0 80.159
0.0210658 3548.16 0.0 80.34
0.02104265 3543.87 0.0 80.523
0.02103492 3540.53 0.0 80.702
0.02101998 3536.953 0.0 80.881
0.02100418 3533.22 0.0 81.065
0.02098803 3529.167 0.0 81.245
0.02097187 3525.35 0.0 81.428
0.02096111 3521.3 0.0 81.61
0.02094054 3518.04 0.0 81.792
0.020934 3514.303 0.0 81.972
0.02091097 3510.807 0.0 82.153
0.0209058 3507.47 0.0 82.335
0.02088227 3504.847 0.0 82.517
0.02087422 3502.147 0.0 82.696
0.02085628 3499.123 0.0 82.876
0.0208428 3495.867 0.0 83.057
0.02082882 3493.007 0.0 83.237
0.02081175 3490.303 0.0 83.416
0.02080507 3487.523 0.0 83.597
0.02078186 3485.057 0.0 83.778
0.02077512 3482.677 0.0 83.962
0.02075154 3480.687 0.0 84.139
0.02074532 3478.543 0.0 84.321
0.0207231 3476.793 0.0 84.502
0.02071421 3475.363 0.0 84.681
0.02069789 3473.693 0.0 84.861
0.02068337 3472.023 0.0 85.041
0.02067167 3470.597 0.0 85.22
0.02065217 3469.72 0.0 85.4
0.02064424 3468.77 0.0 85.582
0.0206221 3467.81 0.0 85.764
0.02061633 3467.1 0.0 85.945
0.02059295 3466.78 0.0 86.122
0.02058567 3466.62 0.0 86.302
0.02056743 3466.62 0.0 86.481
0.02055464 3467.02 0.0 86.664
0.02054102 3467.493 0.0 86.84
0.02052308 3466.86 0.0 87.019
0.02051358 3467.177 0.0 87.2
0.02049253 3468.607 0.0 87.382
0.02048629 3470.357 0.0 87.568
0.02046194 3470.91 0.0 87.749
0.02045624 3470.517 0.0 87.931
0.02043327 3470.437 0.0 88.114
0.02042457 3471.943 0.0 88.294
0.02040639 3474.33 0.0 88.474
0.02039324 3477.113 0.0 88.657
0.02038003 3479.417 0.0 88.837
0.02036266 3481.403 0.0 89.02
0.02035284 3483.233 0.0 89.2
0.02033209 3485.297 0.0 89.383
0.02032513 3487.683 0.0 89.563
0.02030218 3490.067 0.0 89.743
0.02029591 3492.847 0.0 89.925
0.02027357 3495.627 0.0 90.106
0.02026441 3498.65 0.0 90.289
0.02024624 3501.43 0.0 90.47
0.0202331 3504.13 0.0 90.65
0.0202226 3507.63 0.0 90.832
0.02020297 3510.49 0.0 91.016
0.02019281 3513.91 0.0 91.2
0.02017138 3517.8 0.0 91.382
0.02016388 3521.853 0.0 91.565
0.02014094 3525.27 0.0 91.746
0.02013466 3529.56 0.0 91.929
0.02011161 3533.537 0.0 92.113
0.02010309 3536.797 0.0 92.295
0.02008559 3540.133 0.0 92.472
0.02007157 3543.95 0.0 92.651
0.02005915 3547.363 0.0 92.831
0.02004079 3550.383 0.0 93.014
0.02003286 3553.643 0.0 93.194
0.02001033 3557.38 0.0 93.374
0.02000489 3562.23 0.0 93.56
0.01997977 3566.44 0.0 93.741
0.01997392 3570.093 0.0 93.924
0.01995093 3573.037 0.0 94.108
0.01994203 3575.817 0.0 94.291
0.01992787 3578.837 0.0 94.474
0.01991041 3581.94 0.0 94.657
0.01989685 3585.513 0.0 94.838
0.019879 3588.533 0.0 95.023
0.0198697 3591.87 0.0 95.204
0.01984757 3594.413 0.0 95.387
0.01984176 3596.957 0.0 95.568
0.0198183 3599.737 0.0 95.747
0.0198118 3602.997 0.0 95.93
0.01978954 3606.097 0.0 96.111
0.0197805 3609.197 0.0 96.294
0.01976118 3612.293 0.0 96.474
0.01974905 3615.473 0.0 96.653
0.01973657 3618.177 0.0 96.833
0.01971818 3619.843 0.0 97.015
0.01971019 3622.147 0.0 97.195
0.01968777 3624.93 0.0 97.376
0.01968106 3628.19 0.0 97.555
0.01965671 3630.733 0.0 97.738
0.01965028 3633.117 0.0 97.921
0.01963216 3635.343 0.0 98.105
0.01961908 3637.327 0.0 98.285
0.01960319 3638.997 0.0 98.464
0.01958746 3640.907 0.0 98.645
0.01957661 3643.13 0.0 98.824
0.01955597 3645.593 0.0 99.007
0.01954666 3648.613 0.0 99.187
0.01952457 3650.84 0.0 99.369
0.01951998 3652.587 0.0 99.547
0.01949571 3653.86 0.0 99.729
0.01948841 3655.767 0.0 99.91
0.01946679 3657.833 0.0 100.093
0.01945664 3660.217 0.0 100.275
0.01944013 3662.76 0.0 100.455
0.01942573 3664.987 0.0 100.635
0.01941554 3666.813 0.0 100.823
0.01939456 3668.083 0.0 101.003
0.01938714 3669.993 0.0 101.183
0.01936417 3671.9 0.0 101.362
0.01935857 3673.25 0.0 101.542
0.01933806 3674.363 0.0 101.722
0.01932742 3676.43 0.0 101.903
0.01930654 3678.893 0.0 102.081
0.01929483 3680.563 0.0 102.263
0.01928161 3681.913 0.0 102.444
0.01926363 3683.663 0.0 102.627
0.01925263 3685.01 0.0 102.81
0.01923218 3685.807 0.0 102.987
0.01922453 3687.397 0.0 103.169
